,MSR_Id,TimeStamp,CarFlow,LorryFlow,AnyFlow,CarSpeed,LorrySpeed,AnySpeed
391,CH:0374.04,2023-06-12T18:24:00.000000Z,60.0,0.0,0.0,59.0,,
2167,CH:0374.04,2023-06-12T18:25:00.000000Z,0.0,0.0,0.0,,,
3943,CH:0374.04,2023-06-12T18:26:00.000000Z,0.0,0.0,0.0,,,
5719,CH:0374.04,2023-06-12T18:27:00.000000Z,60.0,0.0,0.0,46.0,,
7495,CH:0374.04,2023-06-12T18:28:00.000000Z,60.0,0.0,0.0,52.0,,
9271,CH:0374.04,2023-06-12T18:29:00.000000Z,60.0,0.0,0.0,60.0,,
11047,CH:0374.04,2023-06-12T18:30:00.000000Z,60.0,0.0,0.0,55.0,,
12823,CH:0374.04,2023-06-12T18:31:00.000000Z,0.0,0.0,0.0,,,
14599,CH:0374.04,2023-06-12T18:32:00.000000Z,180.0,0.0,0.0,57.0,,
16375,CH:0374.04,2023-06-12T18:33:00.000000Z,60.0,0.0,0.0,47.0,,
18151,CH:0374.04,2023-06-12T18:34:00.000000Z,0.0,0.0,0.0,,,
19927,CH:0374.04,2023-06-12T18:35:00.000000Z,300.0,0.0,0.0,55.2000008,,
21703,CH:0374.04,2023-06-12T18:36:00.000000Z,120.0,0.0,0.0,55.5,,
23479,CH:0374.04,2023-06-12T18:37:00.000000Z,60.0,0.0,0.0,67.0,,
25255,CH:0374.04,2023-06-12T18:38:00.000000Z,360.0,0.0,0.0,50.2000008,,
27031,CH:0374.04,2023-06-12T18:39:00.000000Z,0.0,0.0,0.0,,,
28807,CH:0374.04,2023-06-12T18:40:00.000000Z,0.0,0.0,0.0,,,
30583,CH:0374.04,2023-06-12T18:41:00.000000Z,0.0,0.0,0.0,,,
32359,CH:0374.04,2023-06-12T18:42:00.000000Z,120.0,0.0,0.0,49.0,,
34135,CH:0374.04,2023-06-12T18:43:00.000000Z,0.0,0.0,0.0,,,
35911,CH:0374.04,2023-06-12T18:44:00.000000Z,60.0,0.0,0.0,50.0,,
37687,CH:0374.04,2023-06-12T18:45:00.000000Z,0.0,0.0,0.0,,,
39463,CH:0374.04,2023-06-12T18:46:00.000000Z,60.0,0.0,0.0,51.0,,
41239,CH:0374.04,2023-06-12T18:47:00.000000Z,60.0,0.0,0.0,43.0,,
43015,CH:0374.04,2023-06-12T18:48:00.000000Z,240.0,0.0,0.0,50.2999992,,
44791,CH:0374.04,2023-06-12T18:49:00.000000Z,0.0,0.0,0.0,,,
46567,CH:0374.04,2023-06-12T18:50:00.000000Z,60.0,0.0,0.0,53.0,,
48343,CH:0374.04,2023-06-12T18:51:00.000000Z,0.0,0.0,0.0,,,
50119,CH:0374.04,2023-06-12T18:52:00.000000Z,240.0,0.0,0.0,52.2999992,,
51895,CH:0374.04,2023-06-12T18:53:00.000000Z,240.0,0.0,0.0,55.7999992,,
53671,CH:0374.04,2023-06-12T18:54:00.000000Z,0.0,0.0,0.0,,,
55447,CH:0374.04,2023-06-12T18:55:00.000000Z,60.0,0.0,0.0,47.0,,
57223,CH:0374.04,2023-06-12T18:56:00.000000Z,120.0,0.0,0.0,51.0,,
58999,CH:0374.04,2023-06-12T18:57:00.000000Z,0.0,0.0,0.0,,,
60775,CH:0374.04,2023-06-12T18:58:00.000000Z,0.0,0.0,0.0,,,
62551,CH:0374.04,2023-06-12T18:59:00.000000Z,120.0,0.0,0.0,46.0,,
64327,CH:0374.04,2023-06-12T19:00:00.000000Z,0.0,0.0,0.0,,,
66103,CH:0374.04,2023-06-12T19:01:00.000000Z,60.0,0.0,0.0,49.0,,
67879,CH:0374.04,2023-06-12T19:02:00.000000Z,0.0,0.0,0.0,,,
69655,CH:0374.04,2023-06-12T19:03:00.000000Z,120.0,0.0,0.0,56.0,,
71431,CH:0374.04,2023-06-12T19:04:00.000000Z,120.0,0.0,0.0,45.0,,
73207,CH:0374.04,2023-06-12T19:05:00.000000Z,60.0,0.0,0.0,56.0,,
74983,CH:0374.04,2023-06-12T19:06:00.000000Z,0.0,0.0,0.0,,,
76759,CH:0374.04,2023-06-12T19:07:00.000000Z,0.0,0.0,0.0,,,
78535,CH:0374.04,2023-06-12T19:08:00.000000Z,120.0,0.0,0.0,48.0,,
80311,CH:0374.04,2023-06-12T19:09:00.000000Z,120.0,0.0,0.0,48.0,,
82087,CH:0374.04,2023-06-12T19:10:00.000000Z,0.0,0.0,0.0,,,
83863,CH:0374.04,2023-06-12T19:11:00.000000Z,0.0,0.0,0.0,,,
85639,CH:0374.04,2023-06-12T19:12:00.000000Z,120.0,0.0,0.0,51.5,,
87415,CH:0374.04,2023-06-12T19:13:00.000000Z,0.0,0.0,0.0,,,
89191,CH:0374.04,2023-06-12T19:14:00.000000Z,180.0,0.0,0.0,49.7000008,,
90967,CH:0374.04,2023-06-12T19:15:00.000000Z,60.0,0.0,0.0,53.0,,
92743,CH:0374.04,2023-06-12T19:16:00.000000Z,60.0,0.0,0.0,57.0,,
94519,CH:0374.04,2023-06-12T19:17:00.000000Z,180.0,0.0,0.0,56.2999992,,
96295,CH:0374.04,2023-06-12T19:18:00.000000Z,0.0,0.0,0.0,,,
98071,CH:0374.04,2023-06-12T19:19:00.000000Z,60.0,0.0,0.0,45.0,,
99823,CH:0374.04,2023-06-12T19:22:00.000000Z,120.0,0.0,0.0,49.0,,
101517,CH:0374.04,2023-06-12T19:23:00.000000Z,,,,,,
103293,CH:0374.04,2023-06-12T19:24:00.000000Z,,,,,,
105069,CH:0374.04,2023-06-12T19:25:00.000000Z,,,,,,
106845,CH:0374.04,2023-06-12T19:26:00.000000Z,0.0,0.0,0.0,,,
108621,CH:0374.04,2023-06-12T19:27:00.000000Z,180.0,0.0,0.0,44.0,,
162654,CH:0374.04,2023-06-12T20:15:00.000000Z,120.0,0.0,0.0,45.5,,
164430,CH:0374.04,2023-06-12T20:16:00.000000Z,0.0,0.0,0.0,,,
166206,CH:0374.04,2023-06-12T20:17:00.000000Z,0.0,0.0,0.0,,,
167982,CH:0374.04,2023-06-12T20:18:00.000000Z,60.0,0.0,0.0,49.0,,
169758,CH:0374.04,2023-06-12T20:19:00.000000Z,60.0,0.0,0.0,58.0,,
171534,CH:0374.04,2023-06-12T20:20:00.000000Z,60.0,0.0,0.0,49.0,,
173310,CH:0374.04,2023-06-12T20:21:00.000000Z,0.0,0.0,0.0,,,
175086,CH:0374.04,2023-06-12T20:22:00.000000Z,60.0,0.0,0.0,49.0,,
176862,CH:0374.04,2023-06-12T20:23:00.000000Z,0.0,0.0,0.0,,,
178638,CH:0374.04,2023-06-12T20:24:00.000000Z,60.0,0.0,0.0,50.0,,
180414,CH:0374.04,2023-06-12T20:25:00.000000Z,0.0,0.0,0.0,,,
182190,CH:0374.04,2023-06-12T20:26:00.000000Z,60.0,0.0,0.0,41.0,,
183966,CH:0374.04,2023-06-12T20:27:00.000000Z,0.0,0.0,0.0,,,
185742,CH:0374.04,2023-06-12T20:28:00.000000Z,60.0,0.0,0.0,45.0,,
187518,CH:0374.04,2023-06-12T20:29:00.000000Z,120.0,0.0,0.0,50.5,,
189294,CH:0374.04,2023-06-12T20:30:00.000000Z,0.0,0.0,0.0,,,
191070,CH:0374.04,2023-06-12T20:31:00.000000Z,60.0,0.0,0.0,44.0,,
192846,CH:0374.04,2023-06-12T20:32:00.000000Z,120.0,0.0,0.0,47.0,,
194622,CH:0374.04,2023-06-12T20:33:00.000000Z,60.0,0.0,0.0,48.0,,
196398,CH:0374.04,2023-06-12T20:34:00.000000Z,120.0,0.0,0.0,50.0,,
198174,CH:0374.04,2023-06-12T20:35:00.000000Z,0.0,0.0,0.0,,,
199950,CH:0374.04,2023-06-12T20:36:00.000000Z,0.0,0.0,0.0,,,
201726,CH:0374.04,2023-06-12T20:37:00.000000Z,120.0,0.0,0.0,53.5,,
203502,CH:0374.04,2023-06-12T20:38:00.000000Z,60.0,0.0,0.0,55.0,,
205278,CH:0374.04,2023-06-12T20:39:00.000000Z,60.0,0.0,0.0,57.0,,
207054,CH:0374.04,2023-06-12T20:40:00.000000Z,60.0,0.0,0.0,47.0,,
208830,CH:0374.04,2023-06-12T20:41:00.000000Z,0.0,0.0,0.0,,,
210606,CH:0374.04,2023-06-12T20:42:00.000000Z,0.0,0.0,0.0,,,
212382,CH:0374.04,2023-06-12T20:43:00.000000Z,60.0,0.0,0.0,51.0,,
214158,CH:0374.04,2023-06-12T20:44:00.000000Z,0.0,0.0,0.0,,,
215934,CH:0374.04,2023-06-12T20:45:00.000000Z,0.0,0.0,0.0,,,
217710,CH:0374.04,2023-06-12T20:46:00.000000Z,0.0,0.0,0.0,,,
219486,CH:0374.04,2023-06-12T20:47:00.000000Z,0.0,0.0,0.0,,,
221262,CH:0374.04,2023-06-12T20:48:00.000000Z,60.0,0.0,0.0,50.0,,
223038,CH:0374.04,2023-06-12T20:49:00.000000Z,0.0,0.0,0.0,,,
224814,CH:0374.04,2023-06-12T20:50:00.000000Z,60.0,0.0,0.0,41.0,,
226590,CH:0374.04,2023-06-12T20:51:00.000000Z,120.0,0.0,0.0,51.0,,
228366,CH:0374.04,2023-06-12T20:52:00.000000Z,0.0,0.0,0.0,,,
230142,CH:0374.04,2023-06-12T20:53:00.000000Z,0.0,0.0,0.0,,,
231918,CH:0374.04,2023-06-12T20:54:00.000000Z,60.0,0.0,0.0,54.0,,
233694,CH:0374.04,2023-06-12T20:55:00.000000Z,60.0,0.0,0.0,42.0,,
235470,CH:0374.04,2023-06-12T20:56:00.000000Z,0.0,0.0,0.0,,,
237246,CH:0374.04,2023-06-12T20:57:00.000000Z,60.0,0.0,0.0,49.0,,
239022,CH:0374.04,2023-06-12T20:58:00.000000Z,0.0,0.0,0.0,,,
240798,CH:0374.04,2023-06-12T20:59:00.000000Z,0.0,0.0,0.0,,,
242574,CH:0374.04,2023-06-12T21:00:00.000000Z,60.0,0.0,0.0,46.0,,
244350,CH:0374.04,2023-06-12T21:01:00.000000Z,0.0,0.0,0.0,,,
246126,CH:0374.04,2023-06-12T21:02:00.000000Z,60.0,0.0,0.0,49.0,,
247902,CH:0374.04,2023-06-12T21:03:00.000000Z,60.0,0.0,0.0,49.0,,
249678,CH:0374.04,2023-06-12T21:04:00.000000Z,0.0,0.0,0.0,,,
251454,CH:0374.04,2023-06-12T21:05:00.000000Z,60.0,0.0,0.0,49.0,,
253230,CH:0374.04,2023-06-12T21:06:00.000000Z,0.0,0.0,0.0,,,
255006,CH:0374.04,2023-06-12T21:07:00.000000Z,60.0,0.0,0.0,41.0,,
256782,CH:0374.04,2023-06-12T21:08:00.000000Z,60.0,0.0,0.0,44.0,,
258558,CH:0374.04,2023-06-12T21:09:00.000000Z,60.0,0.0,0.0,44.0,,
260334,CH:0374.04,2023-06-12T21:10:00.000000Z,0.0,0.0,0.0,,,
262110,CH:0374.04,2023-06-12T21:11:00.000000Z,120.0,0.0,0.0,48.0,,
263886,CH:0374.04,2023-06-12T21:12:00.000000Z,0.0,0.0,0.0,,,
265662,CH:0374.04,2023-06-12T21:13:00.000000Z,0.0,0.0,0.0,,,
267438,CH:0374.04,2023-06-12T21:14:00.000000Z,180.0,0.0,0.0,48.2999992,,
269214,CH:0374.04,2023-06-12T21:15:00.000000Z,60.0,0.0,0.0,47.0,,
270990,CH:0374.04,2023-06-12T21:16:00.000000Z,0.0,0.0,0.0,,,
272766,CH:0374.04,2023-06-12T21:17:00.000000Z,0.0,0.0,0.0,,,
274542,CH:0374.04,2023-06-12T21:18:00.000000Z,0.0,0.0,0.0,,,
276318,CH:0374.04,2023-06-12T21:19:00.000000Z,60.0,0.0,0.0,47.0,,
278094,CH:0374.04,2023-06-12T21:20:00.000000Z,0.0,0.0,0.0,,,
279870,CH:0374.04,2023-06-12T21:21:00.000000Z,120.0,0.0,0.0,49.0,,
281646,CH:0374.04,2023-06-12T21:22:00.000000Z,0.0,0.0,0.0,,,
283422,CH:0374.04,2023-06-12T21:23:00.000000Z,0.0,0.0,0.0,,,
285198,CH:0374.04,2023-06-12T21:24:00.000000Z,0.0,0.0,0.0,,,
286974,CH:0374.04,2023-06-12T21:25:00.000000Z,0.0,0.0,0.0,,,
288750,CH:0374.04,2023-06-12T21:26:00.000000Z,0.0,0.0,0.0,,,
290526,CH:0374.04,2023-06-12T21:27:00.000000Z,0.0,0.0,0.0,,,
292302,CH:0374.04,2023-06-12T21:28:00.000000Z,60.0,0.0,0.0,50.0,,
294078,CH:0374.04,2023-06-12T21:29:00.000000Z,120.0,0.0,0.0,52.0,,
295854,CH:0374.04,2023-06-12T21:30:00.000000Z,60.0,0.0,0.0,43.0,,
297630,CH:0374.04,2023-06-12T21:31:00.000000Z,0.0,0.0,0.0,,,
299406,CH:0374.04,2023-06-12T21:32:00.000000Z,0.0,0.0,0.0,,,
301182,CH:0374.04,2023-06-12T21:33:00.000000Z,0.0,0.0,0.0,,,
302958,CH:0374.04,2023-06-12T21:34:00.000000Z,60.0,0.0,0.0,50.0,,
304734,CH:0374.04,2023-06-12T21:35:00.000000Z,120.0,0.0,0.0,47.5,,
306510,CH:0374.04,2023-06-12T21:36:00.000000Z,0.0,0.0,0.0,,,
308286,CH:0374.04,2023-06-12T21:37:00.000000Z,60.0,0.0,0.0,49.0,,
310062,CH:0374.04,2023-06-12T21:38:00.000000Z,0.0,0.0,0.0,,,
311838,CH:0374.04,2023-06-12T21:39:00.000000Z,60.0,0.0,0.0,48.0,,
313614,CH:0374.04,2023-06-12T21:40:00.000000Z,0.0,0.0,0.0,,,
315390,CH:0374.04,2023-06-12T21:41:00.000000Z,0.0,0.0,0.0,,,
317166,CH:0374.04,2023-06-12T21:42:00.000000Z,60.0,0.0,0.0,56.0,,
318942,CH:0374.04,2023-06-12T21:43:00.000000Z,60.0,0.0,0.0,38.0,,
320718,CH:0374.04,2023-06-12T21:44:00.000000Z,120.0,0.0,0.0,47.0,,
322494,CH:0374.04,2023-06-12T21:45:00.000000Z,0.0,0.0,0.0,,,
324270,CH:0374.04,2023-06-12T21:46:00.000000Z,0.0,0.0,0.0,,,
326046,CH:0374.04,2023-06-12T21:47:00.000000Z,0.0,0.0,0.0,,,
327822,CH:0374.04,2023-06-12T21:48:00.000000Z,60.0,0.0,0.0,45.0,,
329599,CH:0374.04,2023-06-12T21:49:00.000000Z,60.0,0.0,0.0,38.0,,
331374,CH:0374.04,2023-06-12T21:50:00.000000Z,0.0,0.0,0.0,,,
333150,CH:0374.04,2023-06-12T21:51:00.000000Z,0.0,0.0,0.0,,,
334926,CH:0374.04,2023-06-12T21:52:00.000000Z,0.0,0.0,0.0,,,
336702,CH:0374.04,2023-06-12T21:53:00.000000Z,0.0,0.0,0.0,,,
338478,CH:0374.04,2023-06-12T21:54:00.000000Z,0.0,0.0,0.0,,,
340254,CH:0374.04,2023-06-12T21:55:00.000000Z,0.0,0.0,0.0,,,
342030,CH:0374.04,2023-06-12T21:56:00.000000Z,0.0,0.0,0.0,,,
343806,CH:0374.04,2023-06-12T21:57:00.000000Z,0.0,0.0,0.0,,,
345582,CH:0374.04,2023-06-12T21:58:00.000000Z,0.0,0.0,0.0,,,
347358,CH:0374.04,2023-06-12T21:59:00.000000Z,0.0,0.0,0.0,,,
349134,CH:0374.04,2023-06-12T22:00:00.000000Z,0.0,0.0,0.0,,,
350910,CH:0374.04,2023-06-12T22:01:00.000000Z,0.0,0.0,0.0,,,
352686,CH:0374.04,2023-06-12T22:02:00.000000Z,0.0,0.0,0.0,,,
354462,CH:0374.04,2023-06-12T22:03:00.000000Z,60.0,0.0,0.0,53.0,,
356238,CH:0374.04,2023-06-12T22:04:00.000000Z,0.0,0.0,0.0,,,
358014,CH:0374.04,2023-06-12T22:05:00.000000Z,0.0,0.0,0.0,,,
359790,CH:0374.04,2023-06-12T22:06:00.000000Z,0.0,0.0,0.0,,,
361566,CH:0374.04,2023-06-12T22:07:00.000000Z,60.0,0.0,0.0,42.0,,
363342,CH:0374.04,2023-06-12T22:08:00.000000Z,0.0,0.0,0.0,,,
365118,CH:0374.04,2023-06-12T22:09:00.000000Z,0.0,0.0,0.0,,,
366894,CH:0374.04,2023-06-12T22:10:00.000000Z,60.0,0.0,0.0,45.0,,
368670,CH:0374.04,2023-06-12T22:11:00.000000Z,0.0,0.0,0.0,,,
370446,CH:0374.04,2023-06-12T22:12:00.000000Z,0.0,0.0,0.0,,,
372222,CH:0374.04,2023-06-12T22:13:00.000000Z,0.0,0.0,0.0,,,
373998,CH:0374.04,2023-06-12T22:14:00.000000Z,0.0,0.0,0.0,,,
375774,CH:0374.04,2023-06-12T22:15:00.000000Z,0.0,0.0,0.0,,,
377550,CH:0374.04,2023-06-12T22:16:00.000000Z,0.0,0.0,0.0,,,
379326,CH:0374.04,2023-06-12T22:17:00.000000Z,0.0,0.0,0.0,,,
381102,CH:0374.04,2023-06-12T22:18:00.000000Z,0.0,0.0,0.0,,,
382878,CH:0374.04,2023-06-12T22:19:00.000000Z,0.0,0.0,0.0,,,
384654,CH:0374.04,2023-06-12T22:20:00.000000Z,0.0,0.0,0.0,,,
386430,CH:0374.04,2023-06-12T22:21:00.000000Z,0.0,0.0,0.0,,,
388206,CH:0374.04,2023-06-12T22:22:00.000000Z,0.0,0.0,0.0,,,
389982,CH:0374.04,2023-06-12T22:23:00.000000Z,0.0,0.0,0.0,,,
391759,CH:0374.04,2023-06-12T22:24:00.000000Z,60.0,0.0,0.0,39.0,,
393534,CH:0374.04,2023-06-12T22:25:00.000000Z,0.0,0.0,0.0,,,
395310,CH:0374.04,2023-06-12T22:26:00.000000Z,0.0,0.0,0.0,,,
397086,CH:0374.04,2023-06-12T22:27:00.000000Z,0.0,0.0,0.0,,,
398862,CH:0374.04,2023-06-12T22:28:00.000000Z,0.0,0.0,0.0,,,
400638,CH:0374.04,2023-06-12T22:29:00.000000Z,0.0,0.0,0.0,,,
402414,CH:0374.04,2023-06-12T22:30:00.000000Z,60.0,0.0,0.0,51.0,,
