,MSR_Id,TimeStamp,CarFlow,LorryFlow,AnyFlow,CarSpeed,LorrySpeed,AnySpeed
443,CH:0336.02,2023-06-12T18:24:00.000000Z,,,,,,
2219,CH:0336.02,2023-06-12T18:25:00.000000Z,,,,,,
3995,CH:0336.02,2023-06-12T18:26:00.000000Z,,,,,,
5771,CH:0336.02,2023-06-12T18:27:00.000000Z,,,,,,
7547,CH:0336.02,2023-06-12T18:28:00.000000Z,,,,,,
9323,CH:0336.02,2023-06-12T18:29:00.000000Z,,,,,,
11099,CH:0336.02,2023-06-12T18:30:00.000000Z,,,,,,
12875,CH:0336.02,2023-06-12T18:31:00.000000Z,,,,,,
14651,CH:0336.02,2023-06-12T18:32:00.000000Z,,,,,,
16427,CH:0336.02,2023-06-12T18:33:00.000000Z,,,,,,
18203,CH:0336.02,2023-06-12T18:34:00.000000Z,,,,,,
19979,CH:0336.02,2023-06-12T18:35:00.000000Z,,,,,,
21755,CH:0336.02,2023-06-12T18:36:00.000000Z,,,,,,
23531,CH:0336.02,2023-06-12T18:37:00.000000Z,,,,,,
25307,CH:0336.02,2023-06-12T18:38:00.000000Z,,,,,,
27083,CH:0336.02,2023-06-12T18:39:00.000000Z,,,,,,
28859,CH:0336.02,2023-06-12T18:40:00.000000Z,,,,,,
30635,CH:0336.02,2023-06-12T18:41:00.000000Z,,,,,,
32411,CH:0336.02,2023-06-12T18:42:00.000000Z,,,,,,
34187,CH:0336.02,2023-06-12T18:43:00.000000Z,,,,,,
35963,CH:0336.02,2023-06-12T18:44:00.000000Z,,,,,,
37739,CH:0336.02,2023-06-12T18:45:00.000000Z,,,,,,
39515,CH:0336.02,2023-06-12T18:46:00.000000Z,,,,,,
41291,CH:0336.02,2023-06-12T18:47:00.000000Z,,,,,,
43067,CH:0336.02,2023-06-12T18:48:00.000000Z,,,,,,
44843,CH:0336.02,2023-06-12T18:49:00.000000Z,,,,,,
46619,CH:0336.02,2023-06-12T18:50:00.000000Z,,,,,,
48395,CH:0336.02,2023-06-12T18:51:00.000000Z,,,,,,
50171,CH:0336.02,2023-06-12T18:52:00.000000Z,,,,,,
51947,CH:0336.02,2023-06-12T18:53:00.000000Z,,,,,,
53723,CH:0336.02,2023-06-12T18:54:00.000000Z,,,,,,
55499,CH:0336.02,2023-06-12T18:55:00.000000Z,,,,,,
57275,CH:0336.02,2023-06-12T18:56:00.000000Z,,,,,,
59051,CH:0336.02,2023-06-12T18:57:00.000000Z,,,,,,
60827,CH:0336.02,2023-06-12T18:58:00.000000Z,,,,,,
62603,CH:0336.02,2023-06-12T18:59:00.000000Z,,,,,,
64379,CH:0336.02,2023-06-12T19:00:00.000000Z,,,,,,
66155,CH:0336.02,2023-06-12T19:01:00.000000Z,,,,,,
67931,CH:0336.02,2023-06-12T19:02:00.000000Z,,,,,,
69707,CH:0336.02,2023-06-12T19:03:00.000000Z,,,,,,
71483,CH:0336.02,2023-06-12T19:04:00.000000Z,,,,,,
73259,CH:0336.02,2023-06-12T19:05:00.000000Z,,,,,,
75035,CH:0336.02,2023-06-12T19:06:00.000000Z,,,,,,
76811,CH:0336.02,2023-06-12T19:07:00.000000Z,,,,,,
78587,CH:0336.02,2023-06-12T19:08:00.000000Z,,,,,,
80363,CH:0336.02,2023-06-12T19:09:00.000000Z,,,,,,
82139,CH:0336.02,2023-06-12T19:10:00.000000Z,,,,,,
83915,CH:0336.02,2023-06-12T19:11:00.000000Z,,,,,,
85691,CH:0336.02,2023-06-12T19:12:00.000000Z,,,,,,
87467,CH:0336.02,2023-06-12T19:13:00.000000Z,,,,,,
89243,CH:0336.02,2023-06-12T19:14:00.000000Z,,,,,,
91019,CH:0336.02,2023-06-12T19:15:00.000000Z,,,,,,
92795,CH:0336.02,2023-06-12T19:16:00.000000Z,,,,,,
94571,CH:0336.02,2023-06-12T19:17:00.000000Z,,,,,,
96347,CH:0336.02,2023-06-12T19:18:00.000000Z,,,,,,
98123,CH:0336.02,2023-06-12T19:19:00.000000Z,,,,,,
99872,CH:0336.02,2023-06-12T19:22:00.000000Z,,,,,,
101570,CH:0336.02,2023-06-12T19:23:00.000000Z,,,,,,
103346,CH:0336.02,2023-06-12T19:24:00.000000Z,,,,,,
105122,CH:0336.02,2023-06-12T19:25:00.000000Z,,,,,,
106897,CH:0336.02,2023-06-12T19:26:00.000000Z,,,,,,
108673,CH:0336.02,2023-06-12T19:27:00.000000Z,,,,,,
162706,CH:0336.02,2023-06-12T20:15:00.000000Z,,,,,,
164482,CH:0336.02,2023-06-12T20:16:00.000000Z,,,,,,
166258,CH:0336.02,2023-06-12T20:17:00.000000Z,,,,,,
168034,CH:0336.02,2023-06-12T20:18:00.000000Z,,,,,,
169810,CH:0336.02,2023-06-12T20:19:00.000000Z,,,,,,
171586,CH:0336.02,2023-06-12T20:20:00.000000Z,,,,,,
173362,CH:0336.02,2023-06-12T20:21:00.000000Z,,,,,,
175138,CH:0336.02,2023-06-12T20:22:00.000000Z,,,,,,
176914,CH:0336.02,2023-06-12T20:23:00.000000Z,,,,,,
178690,CH:0336.02,2023-06-12T20:24:00.000000Z,,,,,,
180466,CH:0336.02,2023-06-12T20:25:00.000000Z,,,,,,
182242,CH:0336.02,2023-06-12T20:26:00.000000Z,,,,,,
184018,CH:0336.02,2023-06-12T20:27:00.000000Z,,,,,,
185794,CH:0336.02,2023-06-12T20:28:00.000000Z,,,,,,
187570,CH:0336.02,2023-06-12T20:29:00.000000Z,,,,,,
189346,CH:0336.02,2023-06-12T20:30:00.000000Z,,,,,,
191122,CH:0336.02,2023-06-12T20:31:00.000000Z,,,,,,
192898,CH:0336.02,2023-06-12T20:32:00.000000Z,,,,,,
194674,CH:0336.02,2023-06-12T20:33:00.000000Z,,,,,,
196450,CH:0336.02,2023-06-12T20:34:00.000000Z,,,,,,
198226,CH:0336.02,2023-06-12T20:35:00.000000Z,,,,,,
200002,CH:0336.02,2023-06-12T20:36:00.000000Z,,,,,,
201778,CH:0336.02,2023-06-12T20:37:00.000000Z,,,,,,
203554,CH:0336.02,2023-06-12T20:38:00.000000Z,,,,,,
205330,CH:0336.02,2023-06-12T20:39:00.000000Z,,,,,,
207106,CH:0336.02,2023-06-12T20:40:00.000000Z,,,,,,
208882,CH:0336.02,2023-06-12T20:41:00.000000Z,,,,,,
210658,CH:0336.02,2023-06-12T20:42:00.000000Z,,,,,,
212434,CH:0336.02,2023-06-12T20:43:00.000000Z,,,,,,
214210,CH:0336.02,2023-06-12T20:44:00.000000Z,,,,,,
215986,CH:0336.02,2023-06-12T20:45:00.000000Z,,,,,,
217762,CH:0336.02,2023-06-12T20:46:00.000000Z,,,,,,
219538,CH:0336.02,2023-06-12T20:47:00.000000Z,,,,,,
221314,CH:0336.02,2023-06-12T20:48:00.000000Z,,,,,,
223090,CH:0336.02,2023-06-12T20:49:00.000000Z,,,,,,
224866,CH:0336.02,2023-06-12T20:50:00.000000Z,,,,,,
226642,CH:0336.02,2023-06-12T20:51:00.000000Z,,,,,,
228418,CH:0336.02,2023-06-12T20:52:00.000000Z,,,,,,
230194,CH:0336.02,2023-06-12T20:53:00.000000Z,,,,,,
231970,CH:0336.02,2023-06-12T20:54:00.000000Z,,,,,,
233746,CH:0336.02,2023-06-12T20:55:00.000000Z,,,,,,
235522,CH:0336.02,2023-06-12T20:56:00.000000Z,,,,,,
237298,CH:0336.02,2023-06-12T20:57:00.000000Z,,,,,,
239074,CH:0336.02,2023-06-12T20:58:00.000000Z,,,,,,
240850,CH:0336.02,2023-06-12T20:59:00.000000Z,,,,,,
242626,CH:0336.02,2023-06-12T21:00:00.000000Z,,,,,,
244402,CH:0336.02,2023-06-12T21:01:00.000000Z,,,,,,
246178,CH:0336.02,2023-06-12T21:02:00.000000Z,,,,,,
247954,CH:0336.02,2023-06-12T21:03:00.000000Z,,,,,,
249730,CH:0336.02,2023-06-12T21:04:00.000000Z,,,,,,
251506,CH:0336.02,2023-06-12T21:05:00.000000Z,,,,,,
253282,CH:0336.02,2023-06-12T21:06:00.000000Z,,,,,,
255058,CH:0336.02,2023-06-12T21:07:00.000000Z,,,,,,
256834,CH:0336.02,2023-06-12T21:08:00.000000Z,,,,,,
258610,CH:0336.02,2023-06-12T21:09:00.000000Z,,,,,,
260386,CH:0336.02,2023-06-12T21:10:00.000000Z,,,,,,
262162,CH:0336.02,2023-06-12T21:11:00.000000Z,,,,,,
263938,CH:0336.02,2023-06-12T21:12:00.000000Z,,,,,,
265714,CH:0336.02,2023-06-12T21:13:00.000000Z,,,,,,
267490,CH:0336.02,2023-06-12T21:14:00.000000Z,,,,,,
269266,CH:0336.02,2023-06-12T21:15:00.000000Z,,,,,,
271042,CH:0336.02,2023-06-12T21:16:00.000000Z,,,,,,
272818,CH:0336.02,2023-06-12T21:17:00.000000Z,,,,,,
274594,CH:0336.02,2023-06-12T21:18:00.000000Z,,,,,,
276370,CH:0336.02,2023-06-12T21:19:00.000000Z,,,,,,
278146,CH:0336.02,2023-06-12T21:20:00.000000Z,,,,,,
279922,CH:0336.02,2023-06-12T21:21:00.000000Z,,,,,,
281698,CH:0336.02,2023-06-12T21:22:00.000000Z,,,,,,
283474,CH:0336.02,2023-06-12T21:23:00.000000Z,,,,,,
285250,CH:0336.02,2023-06-12T21:24:00.000000Z,,,,,,
287026,CH:0336.02,2023-06-12T21:25:00.000000Z,,,,,,
288802,CH:0336.02,2023-06-12T21:26:00.000000Z,,,,,,
290578,CH:0336.02,2023-06-12T21:27:00.000000Z,,,,,,
292354,CH:0336.02,2023-06-12T21:28:00.000000Z,,,,,,
294130,CH:0336.02,2023-06-12T21:29:00.000000Z,,,,,,
295906,CH:0336.02,2023-06-12T21:30:00.000000Z,,,,,,
297682,CH:0336.02,2023-06-12T21:31:00.000000Z,,,,,,
299458,CH:0336.02,2023-06-12T21:32:00.000000Z,,,,,,
301234,CH:0336.02,2023-06-12T21:33:00.000000Z,,,,,,
303010,CH:0336.02,2023-06-12T21:34:00.000000Z,,,,,,
304786,CH:0336.02,2023-06-12T21:35:00.000000Z,,,,,,
306562,CH:0336.02,2023-06-12T21:36:00.000000Z,,,,,,
308338,CH:0336.02,2023-06-12T21:37:00.000000Z,,,,,,
310114,CH:0336.02,2023-06-12T21:38:00.000000Z,,,,,,
311890,CH:0336.02,2023-06-12T21:39:00.000000Z,,,,,,
313666,CH:0336.02,2023-06-12T21:40:00.000000Z,,,,,,
315442,CH:0336.02,2023-06-12T21:41:00.000000Z,,,,,,
317218,CH:0336.02,2023-06-12T21:42:00.000000Z,,,,,,
318994,CH:0336.02,2023-06-12T21:43:00.000000Z,,,,,,
320770,CH:0336.02,2023-06-12T21:44:00.000000Z,,,,,,
322546,CH:0336.02,2023-06-12T21:45:00.000000Z,,,,,,
324322,CH:0336.02,2023-06-12T21:46:00.000000Z,,,,,,
326098,CH:0336.02,2023-06-12T21:47:00.000000Z,,,,,,
327874,CH:0336.02,2023-06-12T21:48:00.000000Z,,,,,,
329650,CH:0336.02,2023-06-12T21:49:00.000000Z,,,,,,
331426,CH:0336.02,2023-06-12T21:50:00.000000Z,,,,,,
333202,CH:0336.02,2023-06-12T21:51:00.000000Z,,,,,,
334978,CH:0336.02,2023-06-12T21:52:00.000000Z,,,,,,
336754,CH:0336.02,2023-06-12T21:53:00.000000Z,,,,,,
338530,CH:0336.02,2023-06-12T21:54:00.000000Z,,,,,,
340306,CH:0336.02,2023-06-12T21:55:00.000000Z,,,,,,
342082,CH:0336.02,2023-06-12T21:56:00.000000Z,,,,,,
343858,CH:0336.02,2023-06-12T21:57:00.000000Z,,,,,,
345634,CH:0336.02,2023-06-12T21:58:00.000000Z,,,,,,
347410,CH:0336.02,2023-06-12T21:59:00.000000Z,,,,,,
349186,CH:0336.02,2023-06-12T22:00:00.000000Z,,,,,,
350962,CH:0336.02,2023-06-12T22:01:00.000000Z,,,,,,
352738,CH:0336.02,2023-06-12T22:02:00.000000Z,,,,,,
354514,CH:0336.02,2023-06-12T22:03:00.000000Z,,,,,,
356290,CH:0336.02,2023-06-12T22:04:00.000000Z,,,,,,
358066,CH:0336.02,2023-06-12T22:05:00.000000Z,,,,,,
359842,CH:0336.02,2023-06-12T22:06:00.000000Z,,,,,,
361618,CH:0336.02,2023-06-12T22:07:00.000000Z,,,,,,
363394,CH:0336.02,2023-06-12T22:08:00.000000Z,,,,,,
365170,CH:0336.02,2023-06-12T22:09:00.000000Z,,,,,,
366946,CH:0336.02,2023-06-12T22:10:00.000000Z,,,,,,
368722,CH:0336.02,2023-06-12T22:11:00.000000Z,,,,,,
370498,CH:0336.02,2023-06-12T22:12:00.000000Z,,,,,,
372274,CH:0336.02,2023-06-12T22:13:00.000000Z,,,,,,
374050,CH:0336.02,2023-06-12T22:14:00.000000Z,,,,,,
375826,CH:0336.02,2023-06-12T22:15:00.000000Z,,,,,,
377602,CH:0336.02,2023-06-12T22:16:00.000000Z,,,,,,
379378,CH:0336.02,2023-06-12T22:17:00.000000Z,,,,,,
381154,CH:0336.02,2023-06-12T22:18:00.000000Z,,,,,,
382930,CH:0336.02,2023-06-12T22:19:00.000000Z,,,,,,
384706,CH:0336.02,2023-06-12T22:20:00.000000Z,,,,,,
