,MSR_Id,TimeStamp,CarFlow,LorryFlow,AnyFlow,CarSpeed,LorrySpeed,AnySpeed
557,CH:0580.01,2023-06-12T18:24:00.000000Z,0.0,0.0,0.0,,,
2334,CH:0580.01,2023-06-12T18:25:00.000000Z,60.0,0.0,0.0,94.0,,
4110,CH:0580.01,2023-06-12T18:26:00.000000Z,0.0,0.0,0.0,,,
5885,CH:0580.01,2023-06-12T18:27:00.000000Z,0.0,0.0,0.0,,,
7662,CH:0580.01,2023-06-12T18:28:00.000000Z,0.0,0.0,0.0,,,
9438,CH:0580.01,2023-06-12T18:29:00.000000Z,120.0,0.0,0.0,95.5,,
11213,CH:0580.01,2023-06-12T18:30:00.000000Z,0.0,0.0,0.0,,,
12989,CH:0580.01,2023-06-12T18:31:00.000000Z,60.0,0.0,0.0,149.0,,
14765,CH:0580.01,2023-06-12T18:32:00.000000Z,0.0,0.0,0.0,,,
16542,CH:0580.01,2023-06-12T18:33:00.000000Z,0.0,0.0,0.0,,,
18317,CH:0580.01,2023-06-12T18:34:00.000000Z,120.0,0.0,0.0,106.0,,
20094,CH:0580.01,2023-06-12T18:35:00.000000Z,0.0,0.0,0.0,,,
21869,CH:0580.01,2023-06-12T18:36:00.000000Z,60.0,0.0,0.0,94.0,,
23645,CH:0580.01,2023-06-12T18:37:00.000000Z,0.0,0.0,0.0,,,
25421,CH:0580.01,2023-06-12T18:38:00.000000Z,120.0,0.0,0.0,83.5,,
27198,CH:0580.01,2023-06-12T18:39:00.000000Z,60.0,0.0,0.0,106.0,,
28974,CH:0580.01,2023-06-12T18:40:00.000000Z,0.0,0.0,0.0,,,
30749,CH:0580.01,2023-06-12T18:41:00.000000Z,0.0,0.0,0.0,,,
32526,CH:0580.01,2023-06-12T18:42:00.000000Z,60.0,0.0,0.0,95.0,,
34302,CH:0580.01,2023-06-12T18:43:00.000000Z,60.0,0.0,0.0,94.0,,
36077,CH:0580.01,2023-06-12T18:44:00.000000Z,0.0,0.0,0.0,,,
37853,CH:0580.01,2023-06-12T18:45:00.000000Z,0.0,0.0,0.0,,,
39630,CH:0580.01,2023-06-12T18:46:00.000000Z,0.0,0.0,0.0,,,
41405,CH:0580.01,2023-06-12T18:47:00.000000Z,0.0,0.0,0.0,,,
43182,CH:0580.01,2023-06-12T18:48:00.000000Z,0.0,0.0,0.0,,,
44958,CH:0580.01,2023-06-12T18:49:00.000000Z,60.0,0.0,0.0,89.0,,
46734,CH:0580.01,2023-06-12T18:50:00.000000Z,120.0,0.0,0.0,93.5,,
48509,CH:0580.01,2023-06-12T18:51:00.000000Z,60.0,0.0,0.0,95.0,,
50285,CH:0580.01,2023-06-12T18:52:00.000000Z,180.0,0.0,0.0,88.6999969,,
52062,CH:0580.01,2023-06-12T18:53:00.000000Z,0.0,0.0,0.0,,,
53837,CH:0580.01,2023-06-12T18:54:00.000000Z,0.0,0.0,0.0,,,
55613,CH:0580.01,2023-06-12T18:55:00.000000Z,60.0,0.0,0.0,93.0,,
57390,CH:0580.01,2023-06-12T18:56:00.000000Z,0.0,0.0,0.0,,,
59166,CH:0580.01,2023-06-12T18:57:00.000000Z,0.0,0.0,0.0,,,
60942,CH:0580.01,2023-06-12T18:58:00.000000Z,60.0,0.0,0.0,87.0,,
62718,CH:0580.01,2023-06-12T18:59:00.000000Z,60.0,0.0,0.0,89.0,,
64494,CH:0580.01,2023-06-12T19:00:00.000000Z,0.0,0.0,0.0,,,
66270,CH:0580.01,2023-06-12T19:01:00.000000Z,60.0,0.0,0.0,86.0,,
68046,CH:0580.01,2023-06-12T19:02:00.000000Z,0.0,0.0,0.0,,,
69821,CH:0580.01,2023-06-12T19:03:00.000000Z,0.0,0.0,0.0,,,
71598,CH:0580.01,2023-06-12T19:04:00.000000Z,60.0,0.0,0.0,83.0,,
73373,CH:0580.01,2023-06-12T19:05:00.000000Z,0.0,0.0,0.0,,,
75149,CH:0580.01,2023-06-12T19:06:00.000000Z,60.0,0.0,0.0,83.0,,
76926,CH:0580.01,2023-06-12T19:07:00.000000Z,0.0,0.0,0.0,,,
78702,CH:0580.01,2023-06-12T19:08:00.000000Z,0.0,0.0,0.0,,,
80478,CH:0580.01,2023-06-12T19:09:00.000000Z,0.0,0.0,0.0,,,
82253,CH:0580.01,2023-06-12T19:10:00.000000Z,0.0,0.0,0.0,,,
84029,CH:0580.01,2023-06-12T19:11:00.000000Z,0.0,0.0,0.0,,,
85806,CH:0580.01,2023-06-12T19:12:00.000000Z,0.0,0.0,0.0,,,
87582,CH:0580.01,2023-06-12T19:13:00.000000Z,0.0,0.0,0.0,,,
89357,CH:0580.01,2023-06-12T19:14:00.000000Z,0.0,0.0,0.0,,,
91134,CH:0580.01,2023-06-12T19:15:00.000000Z,60.0,0.0,0.0,80.0,,
92909,CH:0580.01,2023-06-12T19:16:00.000000Z,60.0,0.0,0.0,115.0,,
94686,CH:0580.01,2023-06-12T19:17:00.000000Z,60.0,0.0,0.0,101.0,,
96462,CH:0580.01,2023-06-12T19:18:00.000000Z,0.0,0.0,0.0,,,
98238,CH:0580.01,2023-06-12T19:19:00.000000Z,60.0,0.0,0.0,94.0,,
99982,CH:0580.01,2023-06-12T19:22:00.000000Z,120.0,0.0,0.0,94.0,,
101683,CH:0580.01,2023-06-12T19:23:00.000000Z,,,,,,
103459,CH:0580.01,2023-06-12T19:24:00.000000Z,,,,,,
105235,CH:0580.01,2023-06-12T19:25:00.000000Z,,,,,,
107012,CH:0580.01,2023-06-12T19:26:00.000000Z,120.0,0.0,0.0,88.5,,
108788,CH:0580.01,2023-06-12T19:27:00.000000Z,120.0,0.0,0.0,90.0,,
110291,CH:0580.01,2023-06-12T19:30:00.000000Z,0.0,0.0,0.0,,,
111352,CH:0580.01,2023-06-12T19:31:00.000000Z,0.0,0.0,0.0,,,
112863,CH:0580.01,2023-06-12T19:32:00.000000Z,0.0,0.0,0.0,,,
114368,CH:0580.01,2023-06-12T19:34:00.000000Z,60.0,0.0,0.0,83.0,,
115866,CH:0580.01,2023-06-12T19:35:00.000000Z,0.0,0.0,0.0,,,
117377,CH:0580.01,2023-06-12T19:36:00.000000Z,60.0,0.0,0.0,93.0,,
118889,CH:0580.01,2023-06-12T19:37:00.000000Z,120.0,0.0,0.0,97.0,,
120402,CH:0580.01,2023-06-12T19:38:00.000000Z,0.0,0.0,0.0,,,
121913,CH:0580.01,2023-06-12T19:39:00.000000Z,120.0,0.0,0.0,86.5,,
123426,CH:0580.01,2023-06-12T19:40:00.000000Z,120.0,0.0,0.0,81.0,,
124938,CH:0580.01,2023-06-12T19:41:00.000000Z,0.0,0.0,0.0,,,
126450,CH:0580.01,2023-06-12T19:42:00.000000Z,0.0,0.0,0.0,,,
127961,CH:0580.01,2023-06-12T19:43:00.000000Z,0.0,0.0,0.0,,,
129473,CH:0580.01,2023-06-12T19:46:00.000000Z,,,,,,
130986,CH:0580.01,2023-06-12T19:47:00.000000Z,0.0,0.0,0.0,,,
