,MSR_Id,TimeStamp,CarFlow,LorryFlow,AnyFlow,CarSpeed,LorrySpeed,AnySpeed
257,CH:0067.01,2023-06-12T18:24:00.000000Z,,,,,,
2033,CH:0067.01,2023-06-12T18:25:00.000000Z,,,,,,
3809,CH:0067.01,2023-06-12T18:26:00.000000Z,,,,,,
5585,CH:0067.01,2023-06-12T18:27:00.000000Z,,,,,,
7361,CH:0067.01,2023-06-12T18:28:00.000000Z,,,,,,
9137,CH:0067.01,2023-06-12T18:29:00.000000Z,,,,,,
10913,CH:0067.01,2023-06-12T18:30:00.000000Z,,,,,,
12689,CH:0067.01,2023-06-12T18:31:00.000000Z,,,,,,
14465,CH:0067.01,2023-06-12T18:32:00.000000Z,0.0,0.0,0.0,,,
16241,CH:0067.01,2023-06-12T18:33:00.000000Z,,,,,,
18017,CH:0067.01,2023-06-12T18:34:00.000000Z,,,,,,
19793,CH:0067.01,2023-06-12T18:35:00.000000Z,,,,,,
21569,CH:0067.01,2023-06-12T18:36:00.000000Z,,,,,,
23345,CH:0067.01,2023-06-12T18:37:00.000000Z,,,,,,
25121,CH:0067.01,2023-06-12T18:38:00.000000Z,,,,,,
26897,CH:0067.01,2023-06-12T18:39:00.000000Z,,,,,,
28673,CH:0067.01,2023-06-12T18:40:00.000000Z,,,,,,
30449,CH:0067.01,2023-06-12T18:41:00.000000Z,,,,,,
32225,CH:0067.01,2023-06-12T18:42:00.000000Z,,,,,,
34001,CH:0067.01,2023-06-12T18:43:00.000000Z,,,,,,
35777,CH:0067.01,2023-06-12T18:44:00.000000Z,,,,,,
37553,CH:0067.01,2023-06-12T18:45:00.000000Z,,,,,,
39329,CH:0067.01,2023-06-12T18:46:00.000000Z,,,,,,
41105,CH:0067.01,2023-06-12T18:47:00.000000Z,,,,,,
42881,CH:0067.01,2023-06-12T18:48:00.000000Z,,,,,,
44657,CH:0067.01,2023-06-12T18:49:00.000000Z,,,,,,
46433,CH:0067.01,2023-06-12T18:50:00.000000Z,,,,,,
48209,CH:0067.01,2023-06-12T18:51:00.000000Z,,,,,,
49985,CH:0067.01,2023-06-12T18:52:00.000000Z,,,,,,
51761,CH:0067.01,2023-06-12T18:53:00.000000Z,,,,,,
53537,CH:0067.01,2023-06-12T18:54:00.000000Z,,,,,,
55313,CH:0067.01,2023-06-12T18:55:00.000000Z,,,,,,
57089,CH:0067.01,2023-06-12T18:56:00.000000Z,,,,,,
58865,CH:0067.01,2023-06-12T18:57:00.000000Z,,,,,,
60641,CH:0067.01,2023-06-12T18:58:00.000000Z,,,,,,
62417,CH:0067.01,2023-06-12T18:59:00.000000Z,,,,,,
64193,CH:0067.01,2023-06-12T19:00:00.000000Z,,,,,,
65969,CH:0067.01,2023-06-12T19:01:00.000000Z,,,,,,
67745,CH:0067.01,2023-06-12T19:02:00.000000Z,,,,,,
69521,CH:0067.01,2023-06-12T19:03:00.000000Z,,,,,,
71297,CH:0067.01,2023-06-12T19:04:00.000000Z,,,,,,
73073,CH:0067.01,2023-06-12T19:05:00.000000Z,0.0,0.0,0.0,,,
74849,CH:0067.01,2023-06-12T19:06:00.000000Z,0.0,0.0,0.0,,,
76625,CH:0067.01,2023-06-12T19:07:00.000000Z,0.0,0.0,0.0,,,
