,MSR_Id,TimeStamp,CarFlow,LorryFlow,AnyFlow,CarSpeed,LorrySpeed,AnySpeed
28,CH:0280.05,2023-06-12T18:24:00.000000Z,,,,,,
1804,CH:0280.05,2023-06-12T18:25:00.000000Z,,,,,,
3580,CH:0280.05,2023-06-12T18:26:00.000000Z,,,,,,
5356,CH:0280.05,2023-06-12T18:27:00.000000Z,,,,,,
7132,CH:0280.05,2023-06-12T18:28:00.000000Z,,,,,,
8908,CH:0280.05,2023-06-12T18:29:00.000000Z,,,,,,
10684,CH:0280.05,2023-06-12T18:30:00.000000Z,,,,,,
12460,CH:0280.05,2023-06-12T18:31:00.000000Z,,,,,,
14236,CH:0280.05,2023-06-12T18:32:00.000000Z,,,,,,
16012,CH:0280.05,2023-06-12T18:33:00.000000Z,,,,,,
17788,CH:0280.05,2023-06-12T18:34:00.000000Z,,,,,,
19564,CH:0280.05,2023-06-12T18:35:00.000000Z,,,,,,
21340,CH:0280.05,2023-06-12T18:36:00.000000Z,,,,,,
23116,CH:0280.05,2023-06-12T18:37:00.000000Z,,,,,,
24892,CH:0280.05,2023-06-12T18:38:00.000000Z,,,,,,
26668,CH:0280.05,2023-06-12T18:39:00.000000Z,,,,,,
28444,CH:0280.05,2023-06-12T18:40:00.000000Z,,,,,,
30220,CH:0280.05,2023-06-12T18:41:00.000000Z,,,,,,
31996,CH:0280.05,2023-06-12T18:42:00.000000Z,,,,,,
33772,CH:0280.05,2023-06-12T18:43:00.000000Z,,,,,,
35548,CH:0280.05,2023-06-12T18:44:00.000000Z,,,,,,
37324,CH:0280.05,2023-06-12T18:45:00.000000Z,,,,,,
39100,CH:0280.05,2023-06-12T18:46:00.000000Z,,,,,,
40876,CH:0280.05,2023-06-12T18:47:00.000000Z,,,,,,
42652,CH:0280.05,2023-06-12T18:48:00.000000Z,,,,,,
44428,CH:0280.05,2023-06-12T18:49:00.000000Z,,,,,,
46204,CH:0280.05,2023-06-12T18:50:00.000000Z,,,,,,
47980,CH:0280.05,2023-06-12T18:51:00.000000Z,,,,,,
49756,CH:0280.05,2023-06-12T18:52:00.000000Z,,,,,,
51532,CH:0280.05,2023-06-12T18:53:00.000000Z,,,,,,
53308,CH:0280.05,2023-06-12T18:54:00.000000Z,,,,,,
55084,CH:0280.05,2023-06-12T18:55:00.000000Z,,,,,,
56860,CH:0280.05,2023-06-12T18:56:00.000000Z,,,,,,
58636,CH:0280.05,2023-06-12T18:57:00.000000Z,,,,,,
60412,CH:0280.05,2023-06-12T18:58:00.000000Z,,,,,,
62188,CH:0280.05,2023-06-12T18:59:00.000000Z,,,,,,
63964,CH:0280.05,2023-06-12T19:00:00.000000Z,,,,,,
65740,CH:0280.05,2023-06-12T19:01:00.000000Z,,,,,,
67516,CH:0280.05,2023-06-12T19:02:00.000000Z,,,,,,
69292,CH:0280.05,2023-06-12T19:03:00.000000Z,,,,,,
71068,CH:0280.05,2023-06-12T19:04:00.000000Z,,,,,,
72844,CH:0280.05,2023-06-12T19:05:00.000000Z,,,,,,
74620,CH:0280.05,2023-06-12T19:06:00.000000Z,,,,,,
76396,CH:0280.05,2023-06-12T19:07:00.000000Z,,,,,,
78172,CH:0280.05,2023-06-12T19:08:00.000000Z,,,,,,
79948,CH:0280.05,2023-06-12T19:09:00.000000Z,,,,,,
81724,CH:0280.05,2023-06-12T19:10:00.000000Z,,,,,,
83500,CH:0280.05,2023-06-12T19:11:00.000000Z,,,,,,
85276,CH:0280.05,2023-06-12T19:12:00.000000Z,,,,,,
87052,CH:0280.05,2023-06-12T19:13:00.000000Z,,,,,,
88828,CH:0280.05,2023-06-12T19:14:00.000000Z,,,,,,
90604,CH:0280.05,2023-06-12T19:15:00.000000Z,,,,,,
92380,CH:0280.05,2023-06-12T19:16:00.000000Z,,,,,,
94156,CH:0280.05,2023-06-12T19:17:00.000000Z,,,,,,
95932,CH:0280.05,2023-06-12T19:18:00.000000Z,,,,,,
97708,CH:0280.05,2023-06-12T19:19:00.000000Z,,,,,,
99482,CH:0280.05,2023-06-12T19:22:00.000000Z,,,,,,
101155,CH:0280.05,2023-06-12T19:23:00.000000Z,,,,,,
102931,CH:0280.05,2023-06-12T19:24:00.000000Z,,,,,,
104706,CH:0280.05,2023-06-12T19:25:00.000000Z,,,,,,
106482,CH:0280.05,2023-06-12T19:26:00.000000Z,,,,,,
108258,CH:0280.05,2023-06-12T19:27:00.000000Z,,,,,,
110900,CH:0280.05,2023-06-12T19:31:00.000000Z,,,,,,
112412,CH:0280.05,2023-06-12T19:32:00.000000Z,,,,,,
113923,CH:0280.05,2023-06-12T19:34:00.000000Z,,,,,,
115414,CH:0280.05,2023-06-12T19:35:00.000000Z,,,,,,
116926,CH:0280.05,2023-06-12T19:36:00.000000Z,,,,,,
118438,CH:0280.05,2023-06-12T19:37:00.000000Z,,,,,,
119950,CH:0280.05,2023-06-12T19:38:00.000000Z,,,,,,
121462,CH:0280.05,2023-06-12T19:39:00.000000Z,,,,,,
122974,CH:0280.05,2023-06-12T19:40:00.000000Z,,,,,,
124486,CH:0280.05,2023-06-12T19:41:00.000000Z,,,,,,
125998,CH:0280.05,2023-06-12T19:42:00.000000Z,,,,,,
127510,CH:0280.05,2023-06-12T19:43:00.000000Z,,,,,,
129023,CH:0280.05,2023-06-12T19:46:00.000000Z,,,,,,
130534,CH:0280.05,2023-06-12T19:47:00.000000Z,,,,,,
132046,CH:0280.05,2023-06-12T19:48:00.000000Z,,,,,,
133558,CH:0280.05,2023-06-12T19:49:00.000000Z,,,,,,
135070,CH:0280.05,2023-06-12T19:50:00.000000Z,,,,,,
136582,CH:0280.05,2023-06-12T19:51:00.000000Z,,,,,,
138094,CH:0280.05,2023-06-12T19:52:00.000000Z,,,,,,
139606,CH:0280.05,2023-06-12T19:53:00.000000Z,,,,,,
141118,CH:0280.05,2023-06-12T19:54:00.000000Z,,,,,,
142630,CH:0280.05,2023-06-12T19:55:00.000000Z,,,,,,
144142,CH:0280.05,2023-06-12T19:56:00.000000Z,,,,,,
145654,CH:0280.05,2023-06-12T19:57:00.000000Z,,,,,,
147166,CH:0280.05,2023-06-12T19:58:00.000000Z,,,,,,
148678,CH:0280.05,2023-06-12T19:59:00.000000Z,,,,,,
150190,CH:0280.05,2023-06-12T20:00:00.000000Z,,,,,,
151702,CH:0280.05,2023-06-12T20:01:00.000000Z,,,,,,
153214,CH:0280.05,2023-06-12T20:04:00.000000Z,,,,,,
154726,CH:0280.05,2023-06-12T20:05:00.000000Z,,,,,,
156238,CH:0280.05,2023-06-12T20:06:00.000000Z,,,,,,
157750,CH:0280.05,2023-06-12T20:07:00.000000Z,,,,,,
159262,CH:0280.05,2023-06-12T20:08:00.000000Z,,,,,,
160774,CH:0280.05,2023-06-12T20:09:00.000000Z,,,,,,
162291,CH:0280.05,2023-06-12T20:15:00.000000Z,,,,,,
164067,CH:0280.05,2023-06-12T20:16:00.000000Z,,,,,,
165843,CH:0280.05,2023-06-12T20:17:00.000000Z,,,,,,
167619,CH:0280.05,2023-06-12T20:18:00.000000Z,,,,,,
169395,CH:0280.05,2023-06-12T20:19:00.000000Z,,,,,,
171171,CH:0280.05,2023-06-12T20:20:00.000000Z,,,,,,
172947,CH:0280.05,2023-06-12T20:21:00.000000Z,,,,,,
174723,CH:0280.05,2023-06-12T20:22:00.000000Z,,,,,,
176499,CH:0280.05,2023-06-12T20:23:00.000000Z,,,,,,
178275,CH:0280.05,2023-06-12T20:24:00.000000Z,,,,,,
180051,CH:0280.05,2023-06-12T20:25:00.000000Z,,,,,,
181827,CH:0280.05,2023-06-12T20:26:00.000000Z,,,,,,
183603,CH:0280.05,2023-06-12T20:27:00.000000Z,,,,,,
185379,CH:0280.05,2023-06-12T20:28:00.000000Z,,,,,,
187155,CH:0280.05,2023-06-12T20:29:00.000000Z,,,,,,
188931,CH:0280.05,2023-06-12T20:30:00.000000Z,,,,,,
190707,CH:0280.05,2023-06-12T20:31:00.000000Z,,,,,,
192483,CH:0280.05,2023-06-12T20:32:00.000000Z,,,,,,
194259,CH:0280.05,2023-06-12T20:33:00.000000Z,,,,,,
196035,CH:0280.05,2023-06-12T20:34:00.000000Z,,,,,,
197811,CH:0280.05,2023-06-12T20:35:00.000000Z,,,,,,
199587,CH:0280.05,2023-06-12T20:36:00.000000Z,,,,,,
201363,CH:0280.05,2023-06-12T20:37:00.000000Z,,,,,,
203139,CH:0280.05,2023-06-12T20:38:00.000000Z,,,,,,
204915,CH:0280.05,2023-06-12T20:39:00.000000Z,,,,,,
206691,CH:0280.05,2023-06-12T20:40:00.000000Z,,,,,,
208467,CH:0280.05,2023-06-12T20:41:00.000000Z,,,,,,
210243,CH:0280.05,2023-06-12T20:42:00.000000Z,,,,,,
212019,CH:0280.05,2023-06-12T20:43:00.000000Z,,,,,,
213795,CH:0280.05,2023-06-12T20:44:00.000000Z,,,,,,
215571,CH:0280.05,2023-06-12T20:45:00.000000Z,,,,,,
217347,CH:0280.05,2023-06-12T20:46:00.000000Z,,,,,,
219123,CH:0280.05,2023-06-12T20:47:00.000000Z,,,,,,
220899,CH:0280.05,2023-06-12T20:48:00.000000Z,,,,,,
222675,CH:0280.05,2023-06-12T20:49:00.000000Z,,,,,,
224451,CH:0280.05,2023-06-12T20:50:00.000000Z,,,,,,
226227,CH:0280.05,2023-06-12T20:51:00.000000Z,,,,,,
228003,CH:0280.05,2023-06-12T20:52:00.000000Z,,,,,,
229779,CH:0280.05,2023-06-12T20:53:00.000000Z,,,,,,
231555,CH:0280.05,2023-06-12T20:54:00.000000Z,,,,,,
233331,CH:0280.05,2023-06-12T20:55:00.000000Z,,,,,,
235107,CH:0280.05,2023-06-12T20:56:00.000000Z,,,,,,
236883,CH:0280.05,2023-06-12T20:57:00.000000Z,,,,,,
238659,CH:0280.05,2023-06-12T20:58:00.000000Z,,,,,,
240435,CH:0280.05,2023-06-12T20:59:00.000000Z,,,,,,
242211,CH:0280.05,2023-06-12T21:00:00.000000Z,,,,,,
243987,CH:0280.05,2023-06-12T21:01:00.000000Z,,,,,,
